# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: C:\Users\Aluno\Documents\Igor Macedo\Sistemas Digitais\ufrn-sistemasdigitais\unidade3\pin_assignment.csv
# Generated on: Mon Jun 19 09:29:19 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
button,Input,PIN_G26,5,B5_N0,PIN_C13,,,,
CLOCK_50MHz,Input,PIN_N2,2,B2_N1,PIN_P2,,,,
Led3,Output,PIN_AE23,7,B7_N0,PIN_B21,,,,
PWM_Led1,Output,PIN_Y18,7,B7_N0,PIN_B11,,,,
PWM_Led2,Output,PIN_AA20,7,B7_N0,PIN_AC10,,,,
PWM_Motor,Output,PIN_D25,5,B5_N0,PIN_C11,,,,
sensor[9],Input,PIN_A13,4,B4_N1,PIN_D13,,,,
sensor[8],Input,PIN_B13,4,B4_N1,PIN_T7,,,,
sensor[7],Input,PIN_C13,3,B3_N0,PIN_AF9,,,,
sensor[6],Input,PIN_AC13,8,B8_N0,PIN_AD10,,,,
sensor[5],Input,PIN_AD13,8,B8_N0,PIN_AE9,,,,
sensor[4],Input,PIN_AF14,7,B7_N1,PIN_AC9,,,,
sensor[3],Input,PIN_AE14,7,B7_N1,PIN_V4,,,,
sensor[2],Input,PIN_P25,6,B6_N0,PIN_W12,,,,
sensor[1],Input,PIN_N26,5,B5_N1,PIN_AF10,,,,
sensor[0],Input,PIN_N25,5,B5_N1,PIN_AC11,,,,
